2024-01-01,3015.12
2024-01-02,3018.74
2024-01-03,3038.04
2024-01-04,3036.20
2024-01-05,3002.79
2024-01-06,2951.36
2024-01-07,3025.22
2024-01-08,3026.59
2024-01-09,2982.09
2024-01-10,3025.61
2024-01-11,2983.58
2024-01-12,2965.98
2024-01-13,3007.00
2024-01-14,3024.45
2024-01-15,3044.41
2024-01-16,2963.54
2024-01-17,3045.50
2024-01-18,3021.93
2024-01-19,3025.03
2024-01-20,2998.64
2024-01-21,2958.41
2024-01-22,2997.00
2024-01-23,3025.31
2024-01-24,2974.74
2024-01-25,2998.01
2024-01-26,3006.66
2024-01-27,2989.38
2024-01-28,3014.80
2024-01-29,3030.49
2024-01-30,3025.56
2024-01-31,3006.38
2024-02-01,2990.58
2024-02-02,3036.07
2024-02-03,3027.85
2024-02-04,2997.46
2024-02-05,3035.88
2024-02-06,3017.02
2024-02-07,2998.38
2024-02-08,3003.11
2024-02-09,2974.92
2024-02-10,3043.93
2024-02-11,2959.13
2024-02-12,2951.81
2024-02-13,3014.25
2024-02-14,2968.37
2024-02-15,2962.62
2024-02-16,2966.99
2024-02-17,2984.52
2024-02-18,3008.53
2024-02-19,2960.53
2024-02-20,2992.15
